frame,a,b,ball,ball_possession
145,,[     536.09      382.09],[     611.48      186.38],
146,,[     535.81      381.27],[     611.48      186.38],
147,,[      535.6      381.28],[     611.24      186.36],
148,,[     535.81      381.27],[     611.48      186.38],
149,,[      535.6      381.28],[     611.48      186.38],
150,,[      535.6      381.28],[     611.48      186.38],
151,,[      535.6      381.28],[     611.24      186.36],
152,,[      535.6      381.28],[     611.24      186.36],
153,,[      535.6      381.28],[     611.24      186.36],
154,,[      535.6      381.28],[     611.48      186.38],
155,,[     535.44      382.11],[     611.48      186.38],
156,,[     535.44      382.11],[     611.48      186.38],
157,,[     535.44      382.11],[     611.48      186.38],
158,,[     535.44      382.11],[     611.48      186.38],
159,,[     535.44      382.11],[     611.24      186.36],
160,,[     535.23      382.12],[     611.48      186.38],
161,,[     535.44      382.11],[     611.48      186.38],
162,,[     535.23      382.12],[     611.48      186.38],
163,,[     535.23      382.12],[     611.48      186.38],
164,,[     535.44      382.11],[     611.24      186.36],
165,,[     535.44      382.11],[     611.48      186.38],
166,,[      535.6      381.28],[     611.24      186.36],
167,,[     535.44      382.11],[     611.24      186.36],
168,,[      535.6      381.28],[     611.48      186.38],
169,,[      535.6      381.28],[     611.48      186.38],
170,,[     535.38      381.28],[     611.48      186.38],
171,,[     535.44      382.11],[     611.48      186.38],
172,,[     535.44      382.11],[     611.48      186.38],
173,,[     535.44      382.11],[     611.48      186.38],
174,,[     535.17      381.29],[     611.48      186.38],
175,,[     535.17      381.29],[     611.48      186.38],
176,,[     535.23      382.12],[     611.48      186.38],
177,,[     535.01      382.12],[     611.48      186.38],
178,,[     535.01      382.12],[     611.48      186.38],
179,,[     535.01      382.12],[     611.48      186.38],
180,,[     535.01      382.12],[     611.48      186.38],
181,,[     535.01      382.12],[     611.48      186.38],
182,,[     535.01      382.12],[     611.48      186.38],
183,,[     535.01      382.12],[     611.48      186.38],
184,,[     535.01      382.12],[     611.48      186.38],
185,,[     535.01      382.12],[     611.48      186.38],
186,,[     535.23      382.12],[     611.48      186.38],
187,,[     535.23      382.12],[     611.48      186.38],
188,,[     535.17      381.29],[     611.48      186.38],
189,,[     535.38      381.28],[     611.48      186.38],
190,,[     535.38      381.28],[     611.48      186.38],
191,,[     535.38      381.28],[     611.48      186.38],
192,,[     535.38      381.28],[     611.24      186.36],
193,,[     535.38      381.28],[     611.24      186.36],
194,,[     535.23      382.12],[     611.24      186.36],
195,,[     535.01      382.12],[     611.24      186.36],
196,,[     535.01      382.12],[     611.24      186.36],
197,,[     535.01      382.12],[     611.24      186.36],
198,,[     534.73      381.31],[     611.24      186.36],
199,,[     534.73      381.31],[     611.24      186.36],
200,,[     535.01      382.12],[     611.24      186.36],
201,,[     534.73      381.31],[     611.24      186.36],
202,,[     534.73      381.31],[     611.24      186.36],
203,,[     534.52      381.31],[     611.24      186.36],
204,,[     534.73      381.31],[     611.24      186.36],
205,,[     534.73      381.31],[     611.48      186.38],
206,,[     534.95       381.3],[     611.48      186.38],
207,,[     534.95       381.3],[     611.24      186.36],
208,,[     534.73      381.31],[     611.48      186.38],
209,,[     534.73      381.31],[     611.24      186.36],
